Food_ID,Name,C_Type,Veg_Non,Describe,image_urls
2,chicken minced salad,Healthy Food,non-veg,olive oil; chicken mince; garlic (minced); onion; salt; black pepper; carrot; cabbage; green onions; sweet chilli sauce; peanut butter; ginger; soy sauce; fresh cilantro; red pepper flakes (crushed); tarts,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3VVK4AMRTGf3J9MqFTy8lEmQTmEYW3J1y6ioQVVfGaAAjgWqaMfNy-0GkCW8&s
6,japanese curry arancini with barley salsa,Japanese,veg,japanese curry; sticky rice; cheese inside rice; barley salsa; wasabi mayo; red capsicum cube (cut); yellow capsicum cube (cut); green capsicum cube (cut); green chili; barley; butter; white pepper; light soya; salt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjEGRQjxSIhaJOkAmkdP8AJghOqFChGqEFinDdguDVUd15HYaw70t1NKtgDRs&s
20,baked multigrain murukku,Snack,veg,oats; ragi flour (bhakri atta); wheat flour; rice flour; urad dal flour (dry roast and grind the dal to a fine powder); cumin seeds; green chillies; ginger; salt; oil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8rX79RsBE2jj9py_FVDIBOx2zTcpF5IiLtyXAgc6Nzj5sA0iKsRvrF7kK2g&s
22,baked namak para,Snack,veg,whole wheat flour (atta); refined flour (maida); baking powder; ghee; salt; carom seeds (ajwain),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4oNJzlTaWemR4O-fZtjZePlx2BR09zrElNIvC9Z1wh4mwD9KFLZEO0UKVxOE&s
29,spinach and feta crepes,French,veg,milk (whole fat or skimmed); flour; water; butter; honey; salt; vegetable oil; extra butter (for crisping the crepe); spinach; feta cheese (crumbled); greek yogurt (whisked); honey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_u3wUOD5u1stVuzrTEyEYH56EuwwFaWWaZqeWvIaIDeG3GlPJ9l9MFcEsx9Y&s
34,mixed berry & banana smoothie,Healthy Food,veg,Frozen mixed berries; ripped banana;fresh orange juice; low fat curd,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW4Cx-0o4nnrzXwEKuziK1Vntv6jgW1qLncubGcLsSdP7Hv9vwlGDPhs_Quyg&s
41,khichdi,Indian,veg,Quick cooking oats; peanuts; cumin; turmeric powder; red chilli powder; onion; tomatoes; carrots; green peas; ginger; green chillies; salt; extra virgin olive oil; water; coriander leaves,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiV0luOO13CC8OnuSZtYmSCS9yizfIpfirlpJtijX_3qVNq-0XkhX_mgFxkQ&s
46,steam bunny chicken bao,Japanese,non-veg,buns; all purpose white flour; dry yeast; sugar; salt; warm water; chicken mince; eggs; soy sauce; sugar; sesame oil; worcestershire sauce; chives; aromat powder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS365EjD5_Uiw0lZm-5FUzW0cea9LmYRv09M4l3bfUOPxH4zvqLYPEfl3m5bQ4&s
47,meat lovers pizza,Italian,non-veg,millet flour; tapioca flour; soy milk; garlic powder; baking powder; salt; tomato sauce; mozzarella cheese; prosciutto; pepperoni; chicken salami; salami milano; rosemary; olive oil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEifCO0QU0fGuO1ocCmU96V9W0e5lR63P9874azjZ1_Rs1Smn3xA4WoofubLE&s
52,chicken parmigiana with tomato sauce,Italian,non-veg,for chicken parmigiana:; chicken breast; egg whole frozen; flour; planko bread crumbs; fresh italian parsley; vegetable oil; solid butter unsalted; tomato sauce; mozzarella cheese; italian parmesan cheese; thyme; for pepperonata:; red pepper; green pepper; yellow pepper; red onion; fresh tomato; butternut squash; garlic; pure olive oil; vegetable oil; black pepper corn (crushed); salt; parsley; for garnishing:; parsley sprig; spinach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5i6DZUE2DbB5ZqxL5zn8ITFybhtI5TXGWdJI-mr5t3b7Yx_hRv86Sz0j1fg&s
